_id,number,country,date,narrative,town,location,deaths,deaths_min,deaths_max,civilians,injuries,children,tweet_id,bureau_id,bij_summary_short,bij_link,target,lat,lon,names/0
55c79e721cbee48856a30a61,476,Yemen,2013-04-17T00:00:00.000Z,"In the farming town of Wessab, a drone hovered. 5 people were killed in a car.",Wessab,Dhammar Province,4-5,4,5,,,,337712862350962688,YEM136,"Five alleged al Qaeda militants were killed in the first US drone strike in almost three months. Journalist and activist Farea al Muslimi, a native of Wessab, contested the depiction of al Radami as an al Qaeda commander, although he also reported the view that al Rademi could easily have been arrested. Al Muslimi posted updates to Twitter from Sanaa as information came to him from friends and family in Wessab. And he said most people he spoke to said al Radami was not a part of AQAP. Al Muslimi: ""In an area like Wessab, there is nothing easier than capturing a man like al-Radmi. Two police officers would have been more than capable of arresting him.""",http://www.thebureauinvestigates.com/2013/01/03/yemen-reported-us-covert-actions-2013/,,14.550014,44.400374,"Hamid al Radami, Mukram Ali Ahmed Hamoud al Haj, Najem Addin Ali Abdullah al Raai, Ghazi Hamoud al Imad, Ismael al Magdishi"
55c79e721cbee48856a30a62,477,Yemen,2013-04-21T00:00:00.000Z,"Missiles hit a house at dawn, killing 2 people. A woman and child were among the injured.",Wadi Abida,Marib Province,2,2,2,,2-3,,337726021900050432,YEM137,A dawn strike on a house in Marib province reportedly killed two alleged al Qaeda militants and wounded up to three others. Local media reported a Saudi and an Egyptian were killed while a woman and child were injured.,http://www.thebureauinvestigates.com/2013/01/03/yemen-reported-us-covert-actions-2013/,,15.519499,45.317648,
55c79e721cbee48856a30a63,478,Yemen,2013-05-18T00:00:00.000Z,"On Friday night, a US drone fired missiles at a truck in Al-Mahfad, killing 4-7 people.",Al Mahfad,Abyan Province,4-7,4,7,,Some,,337735031051149312,YEM138,"US drones reportedly destroyed a truck filled with explosives, killed at least four people. The dead were allegedly militants although a 'local dignitary' told AFP he could not say whether the four 'were Islamist militants'.",http://www.thebureauinvestigates.com/2013/01/03/yemen-reported-us-covert-actions-2013/,,14.037734,46.767517,
55c79e721cbee48856a30a64,479,Yemen,2013-05-20T00:00:00.000Z,The second drone strike in three days killed 2 men in a car.,Radaa,Al Bayda Province,2,2,2,,,,337753184107917312,YEM139,The second strike in three days killed two men in central Yemen. Two alleged al Qaeda members were killed 'as they left a farm on a motorbike' according to Yemen's defence ministry website.,http://www.thebureauinvestigates.com/2013/01/03/yemen-reported-us-covert-actions-2013/,,14.410844,44.840248,
55c79e721cbee48856a30a65,480,Pakistan,2013-05-29T00:00:00.000Z,"A US drone fired missiles at a mud-built house in Chashma, killing 7 people.","Chashma village, near Miranshah",North Waziristan,4-7,4,7,,1-4,,339607953709600769,Ob318,The Pakistan Taliban's second in command Wali ur Rehman was reportedly killed in the first CIA strike in Pakistan for 42 days. At least three other people were killed in the attack in the Miranshah area of North Waziristan.,http://www.thebureauinvestigates.com/2013/01/03/obama-2013-pakistan-drone-strikes/,,32.97742,70.08634,
55c79e721cbee48856a30a66,481,Yemen,2013-06-01T00:00:00.000Z,"On Saturday, two US drone strikes killed 7 people in their cars.",Al Mahfad,Abyan Province,7-8,7,8,,2-3,,341268924584841216,YEM140,Two vehicles carrying alleged AQAP militants were destroyed in either two separate strikes or single strike by a pair of aircraft. At least seven people were killed in the attack. Anonymous and named Yemen officials have said US drones carried out the strike.,http://www.thebureauinvestigates.com/2013/01/03/yemen-reported-us-covert-actions-2013/,,14.03382,46.786228,
55c79e721cbee48856a30a67,482,Pakistan,2013-06-07T00:00:00.000Z,A US drone strike killed 7 people in Shawal.,Shawal,North Waziristan,7,7,7,,3-4,,343067155048329216,Ob319,"A night-time strike reportedly killed seven alleged militants and wounded others on the border of North and South Waziristan, Pakistani intelligence officials said. 'The US drone fired two missiles targeting a militant compound and killing at least seven militants,' an unnamed senior intelligence official told AFP.",http://www.thebureauinvestigates.com/2013/01/03/obama-2013-pakistan-drone-strikes/,,32.779193,69.873047,
55c79e721cbee48856a30a68,483,Yemen,2013-06-09T00:00:00.000Z,"On Sunday, a US drone fired missiles at a car, killing Hassan, his brother, and 'three others.'",Al Mahashma or Khab al-Shath,Al Jawf Province,2-6,2,6,0-2,,0-1,343754317863456769,YEM141,"Multiple missiles struck a vehicle in the northern province of al Jawf, killing between two and six alleged militants. A local reporter tweeted that Huraydan had died alongside two relatives, including his 10-year-old brother.",http://www.thebureauinvestigates.com/2013/01/03/yemen-reported-us-covert-actions-2013/,,16.696709,45.109863,
55c79e721cbee48856a30a69,484,Pakistan,2013-07-03T00:00:00.000Z,At least 17 people were killed when US drones fired four missiles at a house.,Miranshah,North Waziristan,16-18,16,18,,2-5,,352402499115810816,Ob320,At least 16 people were killed when CIA drones hit a house and a vehicle in or around the Miranshah bazaar. Casualty figures were low in initial reports but rose as the day wore on. By around 11am local time Reuters and AFP were reporting 17 killed in the strike.,http://www.thebureauinvestigates.com/2013/01/03/obama-2013-pakistan-drone-strikes/,,33.0020414,70.06084442,
55c79e721cbee48856a30a6a,485,Pakistan,2013-07-13T00:00:00.000Z,"On Saturday night, an American drone fired missiles at a motorcycle. 2 people were killed.",Mosaki,North Waziristan,2-3,2,3,,,,356147147080605698,Ob321,"A drone strike killed two alleged militants riding on a motorcycle and damaged nearby buildings in the village of Mosaki, near Mir Ali.",http://www.thebureauinvestigates.com/2013/01/03/obama-2013-pakistan-drone-strikes/,,32.99988191,70.34082413,
